timestamp,GMXXX_NO2 (ppm),GMXXX_Ethanol (ppm),GMXXX_VOC (ppm),GMXXX_CO (ppm),MiCS5524_CO (ppm),MiCS5524_Ethanol (ppm),MiCS5524_VOC (ppm),label
1765203933143,0.807000,0.598000,0.166000,0.131000,7.392000,6.735000,2.424000,level_1_state_1
1765203933852,0.806000,0.599000,0.166000,0.130000,7.613000,7.001000,2.507000,level_1_state_1
1765203934105,0.806000,0.599000,0.166000,0.129000,7.392000,6.735000,2.424000,level_1_state_1
1765203934660,0.806000,0.599000,0.165000,0.130000,7.392000,6.735000,2.424000,level_1_state_1
1765203935065,0.806000,0.599000,0.165000,0.130000,7.282000,6.604000,2.383000,level_1_state_1
1765203935623,0.806000,0.598000,0.165000,0.129000,7.502000,6.867000,2.465000,level_1_state_1
1765203935725,0.806000,0.598000,0.165000,0.130000,7.613000,7.001000,2.507000,level_1_state_1
1765203936130,0.806000,0.598000,0.164000,0.129000,7.392000,6.735000,2.424000,level_1_state_1
1765203936233,0.806000,0.598000,0.165000,0.129000,7.502000,6.867000,2.465000,level_1_state_1
1765203936840,0.806000,0.598000,0.164000,0.129000,7.392000,6.735000,2.424000,level_1_state_1
1765203936941,0.805000,0.599000,0.164000,0.129000,7.502000,6.867000,2.465000,level_1_state_1
1765203937448,0.806000,0.598000,0.164000,0.129000,7.392000,6.735000,2.424000,level_1_state_1
1765203937498,0.806000,0.599000,0.164000,0.129000,7.502000,6.867000,2.465000,level_1_state_1
1765203938359,0.806000,0.598000,0.164000,0.129000,7.392000,6.735000,2.424000,level_1_state_1
1765203938714,0.806000,0.598000,0.163000,0.129000,7.725000,7.135000,2.549000,level_1_state_1
1765203939575,0.806000,0.598000,0.163000,0.128000,7.613000,7.001000,2.507000,level_1_state_1
1765203940082,0.806000,0.598000,0.163000,0.129000,7.502000,6.867000,2.465000,level_1_state_1
1765203940740,0.806000,0.598000,0.162000,0.129000,7.392000,6.735000,2.424000,level_1_state_1
1765203941550,0.805000,0.599000,0.162000,0.129000,7.392000,6.735000,2.424000,level_1_state_1
1765203942057,0.805000,0.598000,0.162000,0.128000,7.282000,6.604000,2.383000,level_1_state_1
1765203943424,0.805000,0.598000,0.162000,0.128000,7.282000,6.604000,2.383000,level_1_state_1
1765203943828,0.805000,0.597000,0.161000,0.129000,7.613000,7.001000,2.507000,level_1_state_1
